Position,Artist,Song Title,Year
1,Kitty Kallen,Little Things Mean A Lot,1954
2,Perry Como,Wanted,1954
3,Rosemary Clooney,Hey There,1954
4,Crew Cuts,Sh-Boom,1954
5,Jo Stafford,Make Love To Me,1954
6,Eddie Fisher,Oh! My Pa-pa,1954
7,Four Knights,I Get So Lonely,1954
8,Four Aces,Three Coins In The Fountain,1954
9,Doris Day,Secret Love,1954
10,Archie Bleyer,Hernando's Hideaway,1954
11,Frank Sinatra,Young At Heart,1954
12,Rosemary Clooney,This Ole House,1954
13,Eddie Fisher,I Need You Now,1954
14,Patti Page,Cross Over The Bridge,1954
15,Gaylords,The Little Shoemaker,1954
16,Dean Martin,That's Amore,1954
17,Frank Weir,The Happy Wanderer,1954
18,Nat King Cole,Answer Me My Love,1954
19,Tony Bennett,Stranger In Paradise,1954
20,Doris Day,If I Give My Heart To You,1954
21,Kay Starr,If You Love Me (Really Love Me),1954
22,Ralph Marterie,Skokiaan,1954
23,Don Cornell,Hold My Hand,1954
24,Patti Page,Changing Partners,1954
25,Perry Como,Papa Loves Mambo,1954
26,Bill Haley and His Comets,"Shake, Rattle And Roll",1954
27,Tony Bennett,Rags To Riches,1954
28,Kitty Kallen,In The Chapel In The Moonlight,1954
29,Four Aces,Stranger In Paradise,1954
30,Tony Martin,Here,1954
